"WineID";"Color";"Type";"Varietal";"Producer";"Description";"Country";"Region";"SubRegion";"subappellation";"Name";"created_at"
1007;"Red";"Table";"Pinot Noir";"Rene Leclerc";"Gevrey Chambertin";"France";"Burgundy";"Cote de Nuits";"";"Rene Leclerc Gevrey Chambertin";"2021-08-04 14:52:46"
10072;"Red";"Table";"Bordeaux Blend";"Clos de Sarpe";"";"France";"Bordeaux";"Saint Emilion";"";"Clos de Sarpe";"2021-08-04 14:52:46"
10073;"Red";"Table";"Bordeaux Blend";"Cote de Baleau";"";"France";"Bordeaux";"Saint Emilion";"";"Cote de Baleau";"2021-08-04 14:52:46"
10074;"Red";"Table";"Bordeaux Blend";"Domaine de Courteillac";"";"France";"Bordeaux";"Bordeaux Superieur";"";"Courteillac, Domaine de";"2021-08-04 14:52:46"
10076;"Red";"Table";"Bordeaux Blend";"Gazin-Rocquencourt";"";"France";"Bordeaux";"Pessac Leognan";"";"Gazin-Rocquencourt";"2021-08-04 14:52:46"
10077;"Red";"Table";"Bordeaux Blend";"Haut-Lariveau";"";"France";"Bordeaux";"Canon Fronsac";"";"Haut-Lariveau";"2021-08-04 14:52:46"
10079;"Red";"Table";"Bordeaux Blend";"Marsac Seguineau";"";"France";"Bordeaux";"Margaux";"";"Marsac Seguineau";"2021-08-04 14:52:46"
10084;"Red";"Table";"Bordeaux Blend";"Rollan de By";"";"France";"Bordeaux";"Medoc";"";"Rollan de By";"2021-08-04 14:52:46"
10087;"Red";"Table";"Pinot Noir";"Comte Armand";"Auxey Duresses";"France";"Burgundy";"Cote de Beaune";"";"Comte Armand Auxey Duresses";"2021-08-04 14:52:46"
1009;"Red";"Table";"Pinot Noir";"Philippe Leclerc";"Gevrey Chambertin les Champeaux";"France";"Burgundy";"Cote de Nuits";"Champeaux";"Philippe Leclerc Gevrey Chambertin les Champeaux";"2021-08-04 14:52:46"
1010;"Red";"Table";"Pinot Noir";"Philippe Leclerc";"Gevrey Chambertin les Cazetiers";"France";"Burgundy";"Cote de Nuits";"Les Cazetiers";"Philippe Leclerc Gevrey Chambertin les Cazetiers";"2021-08-04 14:52:46"
10104;"Red";"Table";"Pinot Noir";"Vincent Girardin";"Pommard les Epenots";"France";"Burgundy";"Cote de Beaune";"Les Epenots";"Vincent Girardin Pommard les Epenots";"2021-08-04 14:52:46"
10105;"Red";"Table";"Pinot Noir";"Louis Jadot";"Beaune les Theurons";"France";"Burgundy";"Beaune";"";"Louis Jadot Beaune les Theurons";"2021-08-04 14:52:46"
10106;"Red";"Table";"Pinot Noir";"Louis Jadot";"Corton Greves";"France";"Burgundy";"Cote de Beaune";"Les Greves";"Louis Jadot Corton Greves";"2021-08-04 14:52:46"
10108;"Red";"Table";"Pinot Noir";"Louis Jadot";"Savigny les Beaune les Lavieres";"France";"Burgundy";"Cote de Beaune";"Les Lavieres";"Louis Jadot Savigny les Beaune les Lavieres";"2021-08-04 14:52:46"
1011;"Red";"Table";"Pinot Noir";"Philippe Leclerc";"Gevrey Chambertin Combe Aux Moines";"France";"Burgundy";"Cote de Nuits";"Combe aux Moines";"Philippe Leclerc Gevrey Chambertin Combe Aux Moines";"2021-08-04 14:52:46"
10111;"Red";"Table";"Pinot Noir";"Domaine Joblot";"Givry Clos du Bois Chevaux";"France";"Burgundy";"Cote Chalonnaise";"";"Domaine Joblot Givry Clos du Bois Chevaux";"2021-08-04 14:52:46"
10112;"Red";"Table";"Pinot Noir";"Domaine Michel Lafarge";"Volnay 1Er Cru";"France";"Burgundy";"Cote de Beaune";"";"Domaine Michel Lafarge Volnay 1Er Cru";"2021-08-04 14:52:46"
10113;"White";"Table";"Chardonnay";"Domaine Michel Lafarge";"Meursault";"France";"Burgundy";"Cote de Beaune";"";"Domaine Michel Lafarge Meursault";"2021-08-04 14:52:46"
10115;"Red";"Table";"Pinot Noir";"Domaine Leroy";"Corton Renardes";"France";"Burgundy";"Cote de Beaune";"Les Renardes";"Domaine Leroy Corton Renardes";"2021-08-04 14:52:46"
10116;"Red";"Table";"Pinot Noir";"Domaine Monthelie-Douhairet";"Monthelie";"France";"Burgundy";"Cote de Beaune";"";"Domaine Monthelie-Douhairet Monthelie";"2021-08-04 14:52:46"
